,pre-GC_vs_iEVT,pre-eEVT_vs_iEVT,iEVT_vs_EVT_early,EVT_early_vs_VCT_CCC,VCT_CCC_vs_VCT,SCT_vs_VCT_fusing,VCT_fusing_vs_VCT
ZNF444,-0.08481597900390625,-0.16783525049686432,-0.16511255502700806,0.06467227637767792,0.15776091814041138,-0.12283949553966522,-0.21455930173397064
THAP6,0.010855783708393574,-0.109942726790905,-0.0624530129134655,0.062309276312589645,0.04609787464141846,0.04539092257618904,-0.14204058051109314
ZNF226,-0.09405668079853058,-0.16757522523403168,-0.09613849222660065,-0.00942810159176588,0.010853189043700695,0.07361684739589691,-0.11031141877174377
ZFP90,-0.036611828953027725,-0.07206525653600693,0.012352483347058296,0.01487212348729372,0.054439887404441833,-0.09458073228597641,-0.15517082810401917
JDP2,-0.011644119396805763,-0.02335193008184433,-0.02994525618851185,0.05230938270688057,0.17228974401950836,-0.18826152384281158,-0.2607036828994751
ZSCAN2,0.2086842656135559,0.40115880966186523,0.07058513164520264,-0.00854421779513359,-0.04854763299226761,-0.025614790618419647,-0.11320647597312927
ZFP62,0.021487843245267868,-0.12025560438632965,-0.072006456553936,0.001732195494696498,0.05371206998825073,0.00981725100427866,-0.08157344907522202
ZNF133,0.011537646874785423,-0.11251553893089294,-0.07035089284181595,0.04046894609928131,0.06943736225366592,-0.041380446404218674,-0.11459983140230179
GLI4,0.1497066766023636,0.0017576568061485887,0.033911705017089844,0.09791312366724014,0.015773411840200424,-0.027562137693166733,-0.16134440898895264
LRRFIP1,0.48223960399627686,0.12748655676841736,0.407310426235199,0.6230957508087158,0.2625822424888611,-0.9738186597824097,-1.050844669342041
ZKSCAN4,-0.006968187168240547,-0.10043586790561676,0.009504983201622963,0.03519307076931,0.02487807348370552,-0.04251907393336296,-0.10247870534658432
PRDM16,-0.010662869550287724,-0.09896551072597504,0.03506842255592346,0.09035367518663406,-0.008689853362739086,-0.03845770284533501,-0.08153262734413147
ZNF18,0.03220906853675842,0.054322872310876846,0.0016579198418185115,-0.00817448366433382,-0.027339965105056763,0.0006694722105748951,-0.0822351723909378
ZNF691,0.015509734861552715,-0.02079281583428383,-0.02837306074798107,0.021624483168125153,0.03033417835831642,-0.017069919034838676,-0.09822767227888107
ZNF182,0.04515678808093071,-0.034471429884433746,-0.03158149495720863,0.03678534924983978,0.04970308393239975,-0.05863272026181221,-0.13659347593784332
ZNF580,-0.18058417737483978,-0.1510622501373291,-0.1621609926223755,-0.02979193814098835,0.0998237356543541,-0.0525500513613224,-0.1500716358423233
